RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,AccessId_type,AccessId,RequireCurrent_type,RequireCurrent,RequireWatt_type,RequireWatt,ChargingTime_type,ChargingTime,StartDelay_type,StartDelay,UserConfirm_type,UserConfirm,ChargerNumber_type,ChargerNumber
2021-09-07 20:47:00,00,D88039EC684A,001A,05,7B,16,09,298320640,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-08 10:27:00,00,D88039EC684A,001A,05,9C,16,09,2563310336,18,00,20,5121.2,06,43200,07,0,26,00,33,0408
2021-09-08 13:13:00,00,D88039EC684A,001A,05,DE,16,09,3737715456,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-08 15:42:00,00,D88039EC684A,001A,05,7B,16,09,717882112,18,00,20,5121.2,06,43200,07,0,26,00,33,0408
2021-09-08 20:40:00,00,D88039EC684A,001A,05,2B,16,09,3788178176,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-09 09:48:00,00,D88039EC684A,001A,05,B7,16,09,2681012992,18,00,20,5121.2,06,43200,07,0,26,00,33,0408
2021-09-09 12:14:00,00,D88039EC684A,001A,05,66,16,09,3821863680,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-09 13:21:00,00,D88039EC684A,001A,05,E8,16,09,130941696,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-09 19:41:00,00,D88039EC684A,001A,05,EB,16,09,2932802304,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-09 20:35:00,00,D88039EC684A,001A,05,2D,16,09,4224647936,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-10 05:50:00,00,D88039EC684A,001A,05,15,16,09,1188102912,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-10 09:49:00,00,D88039EC684A,001A,05,9D,16,09,3285254912,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-10 13:32:00,00,D88039EC684A,001A,05,90,16,09,1137836800,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-10 14:51:00,00,D88039EC684A,001A,05,E7,16,09,2194801408,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-10 16:07:00,00,D88039EC684A,001A,05,64,16,09,3436315392,18,00,20,5121.2,06,43200,07,0,26,00,33,0408
2021-09-10 21:10:00,00,D88039EC684A,001A,05,FD,16,09,2916352768,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-11 18:49:00,00,D88039EC684A,001A,05,EB,16,09,4275503872,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-13 09:50:00,00,D88039EC684A,001A,05,C8,16,09,199099136,18,00,20,5121.2,06,43200,07,0,26,00,33,0408
2021-09-13 13:01:00,00,D88039EC684A,001A,05,33,16,09,2262696704,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-13 14:38:00,00,D88039EC684A,001A,05,AC,16,09,3621651200,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-13 14:40:00,00,D88039EC684A,001A,05,FC,16,09,3671982848,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-13 14:42:00,00,D88039EC684A,001A,05,39,16,09,3688760064,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-13 20:37:00,00,D88039EC684A,001A,05,8B,16,09,2782921472,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-14 09:06:00,00,D88039EC684A,001A,05,73,16,09,501351168,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-14 14:48:00,00,D88039EC684A,001A,05,1D,16,09,3538027264,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-14 14:52:00,00,D88039EC684A,001A,05,73,16,09,3571581696,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-14 20:55:00,00,D88039EC684A,001A,05,DC,16,09,3370386176,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-14 21:33:00,00,D88039EC684A,001A,05,E2,16,09,65340160,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-15 08:31:00,00,D88039EC684A,001A,05,33,16,09,551944960,18,00,20,1024.24,06,43200,07,0,26,00,33,0408
2021-09-15 10:09:00,00,D88039EC684A,001A,05,B7,16,09,1793458944,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-15 10:11:00,00,D88039EC684A,001A,05,B1,16,09,1810236160,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-15 10:42:00,00,D88039EC684A,001A,05,FD,16,09,2028339968,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-15 10:43:00,00,D88039EC684A,001A,05,ED,16,09,2045117184,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-15 11:47:00,00,D88039EC684A,001A,05,FD,16,09,2833646336,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-15 11:48:00,00,D88039EC684A,001A,05,0A,16,09,2867200768,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-15 11:50:00,00,D88039EC684A,001A,05,76,16,09,2900755200,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-15 11:52:00,00,D88039EC684A,001A,05,95,16,09,2934309632,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-15 11:56:00,00,D88039EC684A,001A,05,4E,16,09,2984641280,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-15 12:17:00,00,D88039EC684A,001A,05,56,16,09,3336962816,18,00,20,1707.06,06,43200,07,0,26,00,33,0408
2021-09-15 13:23:00,00,D88039EC684A,001A,05,9D,16,09,3924165376,18,00,20,1707.06,06,43200,07,0,26,00,33,0408
